displayName,rankingSortRank
University of Pennsylvania,1
American Academy of Art,1
Massachusetts Institute of Technology,2
"University of California, Berkeley",2
Art Academy of Cincinnati,2
Boston Architectural College,3
University of Michigan--Ann Arbor,4
California College of the Arts,4
Carnegie Mellon University,5
New York University,5
Cleveland Institute of Art,5
Cleveland Institute of Music,6
University of Texas at Austin,7
College for Creative Studies,7
Cornell University,8
Indiana University--Bloomington,8
University of North Carolina at Chapel Hill,8
University of Southern California,8
University of Virginia,8
Columbia College Hollywood,8
Columbus College of Art and Design,9
Cornish College of the Arts,10
